M-Y,Precipitation
26-Oct,103.50
26-Nov,21.00
26-Dec,52.60
27-Jan,15.40
27-Feb,12.60
27-Mar,101.90
27-Apr,206.70
27-May,107.80
27-Jun,65.10
27-Jul,142.50
27-Aug,135.00
27-Sep,149.30
27-Oct,75.50
27-Nov,40.20
27-Dec,22.70
28-Jan,56.90
28-Feb,68.40
28-Mar,43.80
28-Apr,117.60
28-May,67.50
28-Jun,153.30
28-Jul,102.90
28-Aug,147.60
28-Sep,83.10
28-Oct,202.80
28-Nov,68.60
28-Dec,58.10
29-Jan,25.60
Feb-29,14.70
29-Mar,31.50
29-Apr,134.80
29-May,228.60
29-Jun,80.40
29-Jul,26.20
29-Aug,55.00
29-Sep,222.00
29-Oct,154.80
29-Nov,95.10
29-Dec,73.90
30-Jan,15.30
Feb-30,39.20
30-Mar,99.60
30-Apr,100.50
30-May,114.90
30-Jun,111.30
30-Jul,281.60
30-Aug,90.30
30-Sep,89.80
30-Oct,95.10
30-Nov,110.20
30-Dec,22.60
31-Jan,60.30
Feb-31,29.80
31-Mar,39.30
Apr-31,133.20
31-May,64.90
Jun-31,161.20
31-Jul,113.20
31-Aug,71.40
Sep-31,129.20
31-Oct,125.20
Nov-31,53.40
31-Dec,43.50
Jan-32,30.00
Feb-32,116.80
Mar-32,32.60
Apr-32,164.40
May-32,59.70
Jun-32,180.60
Jul-32,206.80
Aug-32,141.00
Sep-32,175.90
Oct-32,110.20
Nov-32,173.70
Dec-32,42.50
Jan-33,33.40
Feb-33,8.40
Mar-33,81.00
Apr-33,67.60
May-33,71.50
Jun-33,48.30
Jul-33,98.10
Aug-33,121.90
Sep-33,96.50
Oct-33,153.50
Nov-33,62.60
Dec-33,41.30
Jan-34,18.60
Feb-34,29.80
Mar-34,28.20
Apr-34,95.30
May-34,112.70
Jun-34,172.80
Jul-34,246.40
Aug-34,238.20
Sep-34,256.80
Oct-34,62.50
Nov-34,92.70
Dec-34,18.70
Jan-35,85.70
Feb-35,23.00
Mar-35,78.50
Apr-35,84.80
May-35,64.90
Jun-35,127.40
Jul-35,120.60
Aug-35,173.80
Sep-35,188.10
Oct-35,170.70
Nov-35,47.00
Dec-35,44.60
Jan-36,69.70
Feb-36,31.90
Mar-36,44.60
Apr-36,99.10
May-36,111.20
Jun-36,78.20
Jul-36,129.00
Aug-36,98.80
Sep-36,177.10
Oct-36,163.20
Nov-36,16.50
Dec-36,19.50
Jan-37,32.50
Feb-37,127.30
Mar-37,91.20
Apr-37,86.40
May-37,145.60
Jun-37,59.10
Jul-37,125.00
Aug-37,72.00
Sep-37,230.10
Oct-37,88.20
Nov-37,75.70
Dec-37,94.50
Jan-38,26.70
Feb-38,65.60
Mar-38,74.10
Apr-38,69.50
May-38,99.30
Jun-38,256.10
Jul-38,191.10
Aug-38,82.20
Sep-38,136.00
Oct-38,128.40
Nov-38,11.40
Dec-38,40.60
Jan-39,36.90
Feb-39,26.30
Mar-39,71.90
Apr-39,160.20
May-39,54.50
Jun-39,147.90
Jul-39,33.80
Aug-39,207.30
Sep-39,75.20
Oct-39,182.20
Nov-39,31.90
Dec-39,15.00
Jan-40,18.20
Feb-40,50.70
Mar-40,41.40
Apr-40,99.90
May-40,51.00
Jun-40,79.80
Jul-40,94.10
Aug-40,146.70
Sep-40,179.10
Oct-40,33.60
Nov-40,32.60
Dec-40,25.70
Jan-41,26.70
Feb-41,6.50
Mar-41,53.30
Apr-41,76.50
May-41,128.20
Jun-41,181.10
Jul-41,369.80
Aug-41,78.20
Sep-41,228.80
Oct-41,25.00
Nov-41,57.00
Dec-41,33.70
Jan-42,19.70
Feb-42,38.80
Mar-42,85.70
Apr-42,43.50
May-42,84.20
Jun-42,97.30
Jul-42,66.10
Aug-42,132.50
Sep-42,145.90
Oct-42,109.10
Nov-42,53.20
Dec-42,33.20
Jan-43,26.00
Feb-43,31.20
Mar-43,21.40
Apr-43,29.40
May-43,87.50
Jun-43,79.10
Jul-43,18.50
Aug-43,118.60
Sep-43,135.50
Oct-43,251.00
Nov-43,9.40
Dec-43,17.30
Jan-44,9.20
Feb-44,33.30
Mar-44,95.20
Apr-44,207.50
May-44,69.40
Jun-44,100.20
Jul-44,219.40
Aug-44,76.10
Sep-44,386.80
Oct-44,203.00
Nov-44,78.80
Dec-44,28.70
Jan-45,11.00
Feb-45,36.40
Mar-45,66.10
Apr-45,57.50
May-45,140.80
Jun-45,213.40
Jul-45,348.40
Aug-45,54.70
Sep-45,169.20
Oct-45,283.60
Nov-45,140.70
Dec-45,67.30
Jan-46,9.00
Feb-46,32.80
Mar-46,78.00
Apr-46,41.20
May-46,54.60
Jun-46,74.70
Jul-46,180.90
Aug-46,23.10
Sep-46,90.90
Oct-46,153.40
Nov-46,87.80
Dec-46,82.80
Jan-47,60.60
Feb-47,40.50
Mar-47,47.40
Apr-47,76.00
May-47,141.50
Jun-47,251.80
Jul-47,206.10
Aug-47,91.90
Sep-47,397.30
Oct-47,71.00
Nov-47,5.80
Dec-47,53.50
Jan-48,42.50
Feb-48,10.30
Mar-48,25.00
Apr-48,101.90
May-48,114.50
Jun-48,119.20
Jul-48,133.80
Aug-48,283.80
Sep-48,480.90
Oct-48,125.70
Nov-48,110.70
Dec-48,99.30
Jan-49,77.10
Feb-49,113.70
Mar-49,15.10
Apr-49,145.50
May-49,52.00
Jun-49,250.60
Jul-49,119.70
Aug-49,116.90
Sep-49,231.10
Oct-49,122.50
Nov-49,59.40
Dec-49,51.10
Jan-50,41.00
Feb-50,51.40
Mar-50,15.40
Apr-50,182.60
May-50,190.30
Jun-50,327.20
Jul-50,177.50
Aug-50,456.70
Sep-50,144.40
Oct-50,153.70
Nov-50,76.70
Dec-50,75.40
Jan-51,25.20
Feb-51,42.60
Mar-51,106.90
Apr-51,114.00
May-51,91.90
Jun-51,133.40
Jul-51,97.50
Aug-51,41.60
Sep-51,110.00
Oct-51,127.50
Nov-51,84.20
Dec-51,57.40
Jan-52,63.70
Feb-52,26.90
Mar-52,45.70
Apr-52,95.80
May-52,86.70
Jun-52,148.70
Jul-52,170.30
Aug-52,177.50
Sep-52,115.30
Oct-52,82.70
Nov-52,66.20
Dec-52,18.90
Jan-53,47.30
Feb-53,8.10
Mar-53,66.80
Apr-53,61.50
May-53,131.40
Jun-53,188.20
Jul-53,151.30
Aug-53,190.80
Sep-53,115.20
Oct-53,32.30
Nov-53,13.90
Dec-53,55.50
Jan-54,13.50
Feb-54,4.30
Mar-54,96.20
Apr-54,121.40
May-54,76.60
Jun-54,350.60
Jul-54,214.00
Aug-54,32.20
Sep-54,112.40
Oct-54,115.80
Nov-54,50.60
Dec-54,52.80
Jan-55,41.20
Feb-55,60.70
Mar-55,70.00
Apr-55,39.90
May-55,264.90
Jun-55,125.80
Jul-55,92.20
Aug-55,144.70
Sep-55,121.80
Oct-55,240.60
Nov-55,29.00
Dec-55,76.30
Jan-56,48.80
Feb-56,62.30
Mar-56,96.10
Apr-56,69.20
May-56,141.90
Jun-56,227.70
Jul-56,276.40
Aug-56,113.40
Sep-56,177.70
Oct-56,139.90
Nov-56,89.80
Dec-56,14.80
Jan-57,5.80
Feb-57,65.80
Mar-57,79.00
Apr-57,84.90
May-57,98.90
Jun-57,129.00
Jul-57,251.90
Aug-57,98.20
Sep-57,152.90
Oct-57,100.20
Nov-57,10.30
Dec-57,31.20
Jan-58,60.10
Feb-58,90.80
Mar-58,38.90
Apr-58,30.60
May-58,56.60
Jun-58,97.00
Jul-58,300.10
Aug-58,136.50
Sep-58,449.50
Oct-58,144.50
Nov-58,61.10
Dec-58,137.80
Jan-59,21.70
Feb-59,57.70
Mar-59,120.40
Apr-59,126.90
May-59,39.90
Jun-59,172.30
Jul-59,184.00
Aug-59,273.00
Sep-59,186.60
Oct-59,99.70
Nov-59,106.20
Dec-59,40.90
Jan-60,45.60
Feb-60,17.40
Mar-60,60.20
