"BehaviorSpace results (NetLogo 6.0.4)"
"DMAT6.nlogo"
"experiment"
"10/13/2023 17:11:46:538 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","49"
"[run number]","replicate?","label-heading","from-files?","export-locations?","label-distance","erase-previous-files?","#dmat","#ambulances","[step]","count victims with [color = gray]","count victims with [color = gray and hidden? = false]"
"1","true","118","true","false","4","false","10","0","86399","196","196"
"2","true","118","true","false","4","false","10","1","86399","196","196"
"3","true","118","true","false","4","false","10","2","86399","196","196"
"4","true","118","true","false","4","false","10","3","86399","196","196"
"5","true","118","true","false","4","false","10","4","86399","196","196"
"6","true","118","true","false","4","false","10","5","86399","196","196"
"7","true","118","true","false","4","false","10","6","86399","196","196"
"8","true","118","true","false","4","false","10","7","86399","196","196"
"9","true","118","true","false","4","false","10","8","86399","196","196"
"10","true","118","true","false","4","false","10","9","86399","196","196"
"11","true","118","true","false","4","false","10","10","86399","196","196"
